TRACE STARTED

00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B6 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000A D2=00000000 D3=00000000 D4=00000000 D5=FFFF8D37 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B6 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000A D2=00000000 D3=00000000 D4=00000000 D5=FFFF8D37 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B6 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000A D2=00000000 D3=00000000 D4=00000000 D5=FFFF8E37 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B6 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000009 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8E37 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B7 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000009 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8E00 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B7 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000009 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8E00 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B7 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000009 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8F00 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B7 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000008 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8F00 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000008 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8F01 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000008 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8F01 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000008 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9001 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000007 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9001 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000007 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9001 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000007 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9001 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000007 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9101 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000006 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9101 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002BA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000006 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9100 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002BA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000006 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9100 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002BA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000006 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9200 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002BA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000005 D2=00000000 D3=00000000 D4=00000000 D5=FFFF9200 D6=00003FFF D7=00000100 xNzvc
